TRATAMENTOS,PORC.MATA,Aphelinidae,Bethylidae,Braconidae,Ceraphronidae,Chalcididae,Diapriidae,Drynidae sp 01,Encyrtidae,Eulophidae,Eupelmidae,Evaniidae,Figitidae,Ichneumonidae,Megaspilidae,Mymaridae,Platygastridae,Pompilidae,Pteromalidae,Scelionidae,Signiphoridae,Trichogrammatidae
1OANGA 40,SESSENTA,0,0,3,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
1OANGA 40,SESSENTA,0,0,1,1,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0
1OANGA 40,SESSENTA,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
1OANGA 40,SESSENTA,2,0,1,0,0,0,0,2,0,0,0,0,0,0,3,0,0,0,2,0,0
1OANGA 40,SESSENTA,5,2,1,1,0,0,0,0,0,1,0,1,1,0,4,0,0,0,0,0,0
1OANGA 40,SESSENTA,1,0,0,1,0,1,0,5,0,1,0,1,0,1,2,0,0,0,2,0,4
1OANGA 40,SESSENTA,5,0,0,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1
1OANGA 40,SESSENTA,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,1
1OANGA 40,SESSENTA,0,0,2,4,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,0,0
LOCAL 60,QUARENTA,2,0,8,1,0,1,0,2,1,0,0,0,1,0,4,0,0,0,3,0,2
LOCAL 60,QUARENTA,3,0,9,0,0,0,0,4,1,1,1,0,0,0,3,0,0,0,3,0,2
LOCAL 60,QUARENTA,2,3,6,0,1,0,0,4,0,0,0,0,1,0,8,0,0,0,6,0,2
LOCAL 60,QUARENTA,2,0,3,1,0,1,0,2,2,0,0,0,1,0,4,1,0,1,2,1,0
LOCAL 60,QUARENTA,1,0,11,0,0,0,0,1,1,0,0,0,1,0,2,0,0,1,2,0,2
LOCAL 60,QUARENTA,2,0,2,0,0,0,0,2,1,0,0,0,0,0,3,0,0,0,2,0,0
LOCAL 60,QUARENTA,1,0,4,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3,0,2
LOCAL 60,QUARENTA,1,1,1,1,1,0,0,2,0,0,0,1,0,0,3,0,0,0,2,0,1
LOCAL 60,QUARENTA,2,1,1,0,0,1,0,2,0,0,0,0,0,0,4,0,0,0,4,0,3
LOCAL 60,QUARENTA,3,0,4,0,0,1,0,2,1,0,0,0,0,0,5,0,2,0,1,0,1
1OBVII 30,SETENTA,2,0,0,3,0,0,0,4,1,0,0,0,0,0,2,0,0,0,1,0,2
1OBVII 30,SETENTA,2,0,0,1,0,1,0,2,3,0,0,0,1,0,2,0,0,0,2,1,7
1OBVII 30,SETENTA,1,1,1,3,1,0,0,3,3,0,0,0,0,1,1,0,0,0,5,0,2
1OBVII 30,SETENTA,1,2,1,1,4,1,0,3,2,0,0,0,0,0,5,0,0,0,0,0,4
1OBVII 30,SETENTA,4,2,1,1,0,1,0,18,3,0,0,0,0,1,5,0,0,0,1,0,2
1OBVII 30,SETENTA,4,1,1,0,4,1,0,11,0,0,0,0,0,0,3,1,0,0,1,0,4
1OBVII 30,SETENTA,3,0,0,0,1,0,0,4,1,0,0,1,0,0,1,0,0,0,2,0,0
1OBVII 30,SETENTA,2,2,1,1,1,0,0,7,1,0,0,0,2,0,0,0,0,1,5,0,5
1OBVII 30,SETENTA,3,1,1,0,0,1,0,8,2,0,0,0,0,0,4,0,0,0,1,0,2
1OBVII 30,SETENTA,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,1,0,0,2
1OBVI 80,VINTE,0,2,2,0,0,0,0,2,1,0,0,0,1,0,0,1,1,1,0,1,1
1OBVI 80,VINTE,2,0,2,0,0,0,0,3,1,0,0,0,0,0,3,0,0,0,1,0,2
1OBVI 80,VINTE,2,0,0,0,1,0,0,0,3,0,0,0,0,0,3,1,0,0,1,0,0
1OBVI 80,VINTE,1,0,2,0,0,0,0,4,0,0,0,0,0,0,3,0,0,1,0,0,2
1OBVI 80,VINTE,1,0,8,0,0,0,0,0,1,1,0,0,1,0,3,0,0,0,0,0,1
1OBVI 80,VINTE,0,0,0,1,0,0,0,2,1,0,0,0,0,0,5,0,0,0,1,0,0
1OBVI 80,VINTE,1,0,1,0,0,0,0,4,0,0,0,1,1,2,5,0,0,1,0,0,1
1OBVI 80,VINTE,2,0,0,1,0,0,0,1,1,0,0,1,1,0,2,0,0,0,1,0,1
1OBVI 80,VINTE,2,1,0,0,0,1,0,3,0,0,0,0,0,0,2,0,0,0,2,0,0
1OBVI 80,VINTE,1,1,0,1,0,0,0,3,1,0,0,0,0,0,4,0,0,0,1,1,0
